FacetCenters_0,FacetCenters_1,FacetCenters_2,FacetCenters_Magnitude,FacetIds,absFacetSize,angleWeights,cellPairingIds,facetNormals_0,facetNormals_1,facetNormals_2,facetNormals_Magnitude,interplanarAngles,relFacetSize
0,0,0,0,,,0.0389098,267,0,0,0,0,107.132,
0,0,0,0,,,0.0559795,291,0,0,0,0,70.8626,
0,0,0,0,,,0.030956,200,0,0,0,0,26.6499,
0,0,0,0,,,0.0302252,221,0,0,0,0,124.013,
0,0,0,0,,,0.0367394,243,0,0,0,0,71.3653,
0,0,0,0,,,0.021882,266,0,0,0,0,125.932,
0,0,0,0,,,0.0421132,290,0,0,0,0,73.7944,
0,0,0,0,,,0.0628586,315,0,0,0,0,110.52,
0,0,0,0,,,0.0181352,242,0,0,0,0,97.4529,
0,0,0,0,,,0.0202942,265,0,0,0,0,44.8695,
0,0,0,0,,,0.0147589,289,0,0,0,0,136.309,
0,0,0,0,,,0.0218332,314,0,0,0,0,82.9886,
0,0,0,0,,,0.02634,340,0,0,0,0,94.0008,
0,0,0,0,,,0.0199776,288,0,0,0,0,52.6482,
0,0,0,0,,,0.0145907,313,0,0,0,0,95.0765,
0,0,0,0,,,0.0214671,339,0,0,0,0,117.379,
0,0,0,0,,,0.025809,366,0,0,0,0,54.0869,
0,0,0,0,,,0.0159564,338,0,0,0,0,131.743,
0,0,0,0,,,0.02456,365,0,0,0,0,105.112,
0,0,0,0,,,0.0304137,393,0,0,0,0,70.6124,
0,0,0,0,,,0.0168926,392,0,0,0,0,54.2785,
0,0,0,0,,,0.0194701,421,0,0,0,0,61.1413,
0,0,0,0,,,0.0340058,450,0,0,0,0,63.384,
